"","formula","AICc","AICc Rank","BIC","BIC Rank","PseudoR"
"1","survival ~ NULL",64.77,54,66.6,47,-0.03
"2","survival ~ Temp",55.49,25,59.06,20,0.12
"3","survival ~ Sal",62.26,47,65.83,43,0.01
"4","survival ~ pH",65.74,55,69.31,53,-0.04
"5","survival ~ pCO2",62.83,50,66.4,46,0
"6","survival ~ Ar",62.63,49,66.2,44,0
"7","survival ~ DIC",63.83,52,67.4,49,-0.01
"8","survival ~ Temp + Sal",52.66,19,57.88,19,0.17
"9","survival ~ Temp + pH",57.25,37,62.46,28,0.1
"10","survival ~ Temp + pCO2",55.57,26,60.78,21,0.12
"11","survival ~ Temp + Ar",56.37,32,61.59,26,0.11
"12","survival ~ Sal + pH",62.59,48,67.81,50,0.01
"13","survival ~ Sal + pCO2",62.15,46,67.36,48,0.02
"14","survival ~ Temp + Sal + pH",54.46,23,61.22,25,0.15
"15","survival ~ Temp + Sal + pCO2",54.45,22,61.21,24,0.15
"16","survival ~ Temp + I(Temp^2)",56.97,36,62.18,27,0.1
"17","survival ~ Sal + I(Sal^2)",44.89,18,50.11,18,0.29
"18","survival ~ Temp + I(Temp^2) + Sal",54.3,21,61.06,23,0.15
"19","survival ~ Temp + I(Temp^2) + pH",58.98,44,65.73,42,0.07
"20","survival ~ Temp + I(Temp^2) + pCO2",57.52,39,64.28,33,0.1
"21","survival ~ Temp + I(Temp^2) + Ar",57.84,40,64.59,38,0.09
"22","survival ~ Sal + I(Sal^2) + pH",41.95,17,48.71,17,0.34
"23","survival ~ Sal + I(Sal^2) + pCO2",41.12,16,47.88,16,0.36
"24","survival ~ Sal + I(Sal^2) + Temp",21.77,1,28.53,1,0.67
"25","survival ~ Temp + I(DIC^2) + DIC",33.6,11,40.36,11,0.48
"26","survival ~ Temp + I(Temp^2) + Sal + pH",56.36,31,64.56,36,0.12
"27","survival ~ Temp + I(Temp^2) + Sal + pCO2",56.39,33,64.58,37,0.12
"28","survival ~ Sal + I(Sal^2) + Temp + pH",22.35,3,30.55,3,0.67
"29","survival ~ Sal + I(Sal^2) + Temp + pCO2",21.88,2,30.07,2,0.67
"30","survival ~ DIC + I(DIC^2) + Temp + pH",35.82,13,44.02,13,0.45
"31","survival ~ DIC + I(DIC^2) + Temp + pCO2",35.41,12,43.61,12,0.46
"32","survival ~ Sal + I(Sal^2) + Temp + I(Temp^2)",24.24,7,32.44,5,0.64
"33","survival ~ Sal + I(Sal^2) + Temp + I(Temp^2) + pH",24.65,9,34.17,9,0.64
"34","survival ~ Sal + I(Sal^2) + Temp + I(Temp^2) + pCO2",24.16,6,33.68,7,0.65
"35","survival ~ DIC + I(DIC^2) + Temp + I(Temp^2) + pCO2",37.54,14,47.06,14,0.43
"36","survival ~ Temp + Sal + Temp * Sal",54.12,20,60.88,22,0.15
"37","survival ~ Temp + Sal + Temp * Sal + pH",56.33,30,64.53,35,0.12
"38","survival ~ Temp + Sal + Temp * Sal + pCO2",56.29,29,64.48,34,0.12
"39","survival ~ Temp + pH + Temp * pH",59.56,45,66.32,45,0.06
"40","survival ~ Temp + pH + Temp * pH + Sal",56.06,28,64.26,32,0.13
"41","survival ~ Temp + pCO2 + Temp * pCO2",57.85,41,64.61,39,0.09
"42","survival ~ Temp + pCO2 + Temp * pCO2 + Sal",56.45,34,64.64,40,0.12
"43","survival ~ Temp + Ar + Temp * Ar",57.49,38,64.25,31,0.1
"44","survival ~ Sal + pH + Sal * pH",63.44,51,70.2,54,0
"45","survival ~ Sal + pH + Sal * pH + Temp",56.89,35,65.09,41,0.11
"46","survival ~ Sal + pCO2 + Sal * pCO2",64.2,53,70.96,55,-0.01
"47","survival ~ Sal + pCO2 + Sal * pCO2 + Temp",55.02,24,63.22,29,0.14
"48","survival ~ Temp + Sal + Temp * Sal + I(Temp^2)",56.01,27,64.2,30,0.13
"49","survival ~ Temp + Sal + Temp * Sal + I(Sal^2)",23.5,4,31.7,4,0.65
"50","survival ~ Temp + Sal + Temp * Sal + pH + I(Temp^2)",58.41,43,67.93,52,0.1
"51","survival ~ Temp + Sal + Temp * Sal + pH + I(Sal^2)",24.51,8,34.03,8,0.64
"52","survival ~ Temp + Sal + Temp * Sal + pCO2 + I(Temp^2)",58.39,42,67.91,51,0.1
"53","survival ~ Temp + Sal + Temp * Sal + pCO2 + I(Sal^2)",24.15,5,33.67,6,0.65
"54","survival ~ Temp + DIC + Temp * DIC + pCO2 + I(DIC^2)",37.94,15,47.46,15,0.43
"55","survival ~ Temp + I(Temp^2) + Sal + I(Sal^2) + Temp * Sal",26.09,10,35.61,10,0.61
